sn,sentence/context,polysemy_word,definition
666,Recent events prompt to take decision.,prompt,
667,Prompt action is necessary.,prompt,
668,Thank you for your prompt reply.,prompt,
669,Prompt payment will be appreciated.,prompt,
670,Do you have proof of this incident?,proof,
671,I have enough proof.,proof,
672,There is a proof of this murder. ,proof,
673,This phone is water proof.,proof,
674,The glass used in that window is bullet proof.,proof,
675,The mask you brought is completely dust proof.,proof,
676,This water proof jacket cost hundred dollar.,proof,
677,I own this property.,property,
678,The property belongs to someone.,property,
679,My father left me some property.,property,
680,He studies property of atom.,property,
681,What are the physical property of hydrogen gas?,property,
682,Being waterproof is one of the latest property of this phone.,property,
683,You could feel the pulse of her heart.,pulse,
684,Your pulse is normal.,pulse,
685,This patient has irregular pulse.,pulse,
686,I couldnt find any pulses in cupboard.,pulse,
687,I love to eat pulse.,pulse,
688,He brought pulse from shop.,pulse,
689,Pulse is good source of protein.,pulse,
690,She gave him a punch on the nose.,punch,
691,The boxer was felled by a punch to the head.,punch,
692,He threw a punch at his attacker.,punch,
693,a ticket punch,punch,
694,Have you seen the hole punch anywhere?,punch,
695,leather punch machine,punch,
696,Tom won the race.,race,
697,I like horse race.,race,
698,I never bet on horse race.,race,
699,Slow and steady will win the race.,race,
700,Please don’t misbehave someone according to race of people.,race,
701,Many races of people live in Nepal.,race,
702,Don’t underestimate a person according to their race.,race,
703,The whole farm was going to rack and ruin.,rack,
704,He brought a vegetable rack,rack,
705,The plate rack is empty,rack,
706,This luggage rack is full,rack,
707,Register to vote in election,register,
708,"Only after 18 years, you will be eligible to register in election office",register,
709,There is no record found on the register.,register,
710,This is best register to put record.,register,
711,Record this transaction in register.,register,
712,I have relative in Boston.,relative,
713,I often visit my relative.,relative,
714,Tom is a close relative of mine.,relative,
715,I dont have many blood relative,relative,
716,All her close and distant relative came to the wedding.,relative,
717,"Since I got a job, Ive been living in relative comfort",relative,
718,We weighed up the relative advantage of driving there or going by train.,relative,
719,a companys annual report,report,
720,I submitted a report of the theft to the insurance company.,report,
721,The newspaper report of the discussion only roughly approximated to what was actually said.,report,
722,"According to report, there has been an earthquake in Los Angeles.",report,
723,The statement was in response to a Dallas Morning News report.,report,
724,He is informed report that they were cheating him,report,
725,I always rest for an hour after dinner.,rest,
726,He suggested that we take a short rest.,rest,
727,All we want to do is sit down and rest.,rest,
728,"Since youre tired, you should take a time for rest.",rest,
729,I can barely keep up with the rest of the class.,rest,
730,Do you want to spend the rest of your life alone?,rest,
731,Tom want to spend the rest of his life in America.,rest,
732,Resume your reading.,resume,
733,Resume the work after your lunch,resume,
734,She told him to write his resume.,resume,
735,Send us your resume.,resume,
736,You should include your resume with your job application,resume,
737,We teach best way to write your resume,resume,
738,Resume is mandatory for job application,resume,
739,Are you happy with the service?,service,
740,Id like to do volunteer my service for a month.,service,
741,Why dont you call customer service for your inquiry?,service,
742,I left my car in workshop for service.,service,
743,This bike needs service every one year.,service,
744,Life of vehicle is enhanced if service is done timely. ,service,
745,He is the mechanical service engineer at car company.,service,
746,Tom works at the day shift.,shift,
747,He works at the evening shift.,shift,
748,Working at night shift is very hard.,shift,
749,His shift to new city made him difficult to his job.,shift,
750,"Due to his shift to new place, his children’s school is changed",shift,
751,There is a small pond at right side of your house.,side,
752,There is tree on left side of road.,side,
753,There is fence on both side of road.,side,
754,Were on your side.,side,
755,I need you at my side.,side,
756,I am not taking side of anyone.,side,
757,There is a sign of danger.,sign,
758,Traffic sign should be followed,sign,
759,You got a warning sign,sign,
760,Can you read that sign ahead of us?,sign,
761,We need sign of manager in this file.,sign,
762,I wont sign this document.,sign,
763,Sign the contract.,sign,
764,We definitely hear that sound.,sound,
765,We heard the sound of gunshot.,sound,
766,Avoid listening loud sound.,sound,
767,I like the sound of the piano.,sound,
768,Sound interesting.,sound,
769,Sound perfect.,sound,
770,Sound good,sound,
771,There is no space to sit in the room.,space,
772,The space must be minimum between the two electrode.,space,
773,All the open space are covered with snow.,space,
774,There is space left in front of building,space,
775,They filmed a rocket propelled through space.,space,
776,This is a joint program bankrolled by the US space agency.,space,
777,a space rocket is successfully travelled the distance,space,
778,Satellite is lunched at space,space,
779,I hurt my left arm.,left,
780,Raise your left hand.,left,
781,Destination is on left side.,left,
782,Go straight and turn left.,left,
783,Ram is a left handed person.,left,
784,He got broken his left leg.,left,
785,We left city by train.,left,
786,I left you a note.,left,
787,The watch has broken spring.,spring,
788,This spring can hold around 5 kg weight.,spring,
789,They jumped above spring.,spring,
790,The spring inside a gun is not working.,spring,
791,Over the years the mattress has lost its spring.,spring,
792,The children have jumped on the couch so much that theyve ruined the springs.,spring,
793,Many bulbs bloom in the spring.,spring,
794,Its been a very wet spring.,spring,
795,We decided to have a spring break in Paris.,spring,
796,I feel fresh during spring day.,spring,
797,Im going to work during the spring vacation.,spring,
798,Granny says if you stand for a long time her ankles hurt.,stand,
799,Stand still and be quiet.,stand,
800,Stand in a line,stand,
801,Stand the bottles on the table over there.,stand,
802,I have constant stand in my point.,stand,
803,She’ll no doubt take a strong stand against raising taxes.,stand,
804,Star are shining in the sky.,star,
805,That small star is bright.,star,
806,The sky was filled with star.,star,
807,The sun is the biggest star.,star,
808,Star are twinkling in the sky.,star,
809,Those seven bright star make the shape of a saucepan.,star,
810,That movie star has many fan.,star,
811,John Wayne was one of the most popular movie star of this century.,star,
812,Tom Crush was one of the Hollywood star at his time.,star,
813,The movie star ate crow many times because of all the thoughtless things she said.,star,
814,Mike is popular among the girls because he is the star of the team.,star,
815,He was walking with a stick in his hand.,stick,
816,The rat was killed by Tom with a stick.,stick,
817,My grandfather cannot walk without a stick.,stick,
818,The old man was carrying a load of stick.,stick,
819,Police said that the child had been beaten with a stick.,stick,
820,Find some dry stick and well make a campfire.,stick,
821,A lollipop is a sweet on a stick.,stick,
822,They stick together.,stick,
823,I tried to stick the pieces together with some glue.,stick,
824,Stick an announcement on the board with pin.,stick,
825,This glue wont stick.,stick,
826,Stir the sauce so that it doesnt stick to the pan.,stick,
827,Were ready for the next step.,step,
828,Tom saw Mary walking up the steps.,step,
829,Tom says he cant walk another step.,step,
830,The next step was to sign the document.,step,
831,Move forward one step.,step,
832,His step mother got divorced with father.,step,
833,He has got 5 step sister.,step,
834,His step mother dont love him.,step,
835,His step brother are taller than him.,step,
836,The workers are on strike.,strike,
837,The labour union called a strike.,strike,
838,The bus drivers are on strike today.,strike,
839,Despite the exhortations of the union leaders the workers voted to strike.,strike,
840,They are threatening to strike if their demand is not met.,strike,
841,Strike a pole with stone.,strike,
842,Her car went out of control and will strike other vehicle in the road.,strike,
843,The police have warned the public that the killer could strike again.,strike,
844,I bought a new suit.,suit,
845,They wear a classic navy suit.,suit,
846,"Could you pick up my suit from the cleaner for me, please?",suit,
847,He was dressed in a dark grey suit.,suit,
848,Its regulation to wear suit at the office.,suit,
849,Software can be modified to suit the particular need of the end user.,suit,
850,Does this skirt suit me?,suit,
851,Were on the right track.,track,
852,The train ran off the track.,track,
853,The horse and cart jogged down the rough track towards the farm.,track,
854,After a while the narrow track merges with a wider path.,track,
855,The track petered out after a mile or so.,track,
856,Turn left where the road tapers off into a track.,track,
857,The military use radar satellites to track target through clouds and at night.,track,
858,Radar equipment is used to track the progress of the ship.,track,
859,Police is tried to track a phone call between them.,track,
860,Many companies still treat their management staff better than their workers.,treat,
861,You really should treat your parent with more respect.,treat,
862,These mens magazines just treat women as plaything.,treat,
863,We try to treat our student as individual.,treat,
864,Put your money away - Im going to treat you,treat,
865,"No, you paid for dinner last time - this is my treat.",treat,
866,I dont trust airplane - its unnatural.,trust,
867,I trust him to make the right decision.,trust,
868,Hes such a liar - you cant trust a word he says.,trust,
869,You can trust her because she always does things by the rule.,trust,
870,He works for a charitable trust.,trust,
871,Housing trust helps to provide house for people who are not well off.,trust,
872,They donate their all property to a non-beneficial trust.,trust,
873,Virus is much smaller than bacteria.,virus,
874,Antibodies fight off infections and virus.,virus,
875,"Because of that virus, many elephants died.",virus,
876,"Under a microscope, some virus appear quite beautiful.",virus,
877,Its a lot less likely for a Macintosh computer to have a virus than a computer running Windows.,virus,
878,Its probably a virus spreading in a network.,virus,
879,A virus infected Toms computer.,virus,
880,Drastic measures must be taken to prevent the further spread of the virus in the internet.,virus,
881,This antivirus software costs five hundred.,virus,
882,A yard is equal to three feet.,yard,
883,My sister bought one yard of cloth.,yard,
884,The wall is thirty yard long.,yard,
885,Tom planted some flower in his yard.,yard,
886,Tom has three apple tree in his yard.,yard,
887,The house has a big yard.,yard,
888,There is less water in this well.,well,
889,This well is very deep inside.,well,
890,There is enough water in the well.,well,
891,The water of this well is not drinkable.,well,
892,They dig well,well,
893,I dig a well near my house,well,
894,well done.,well,
895,They speak French well.,well,
896,Tom was well prepared for the exam.,well,
897,The documentary presented both sides of the problem very well.,well,
898,I think she coped very well under the circumstances.,well,
899,get well soon.,well,
900,You did work very well.,well,
901,They behaved well,well,
902,You gave a speech very well,well,
903,I found the party was planned very well,well,
904,The baby can walk well,well,
905,Tom heard a car horn beep.,horn,
906,Dont blow horn too much.,horn,
907,Cant you hear all the car horn honking behind us?,horn,
908,Blow the horn so that car will let us pass.,horn,
909,You are not allowed to blow horn near school and hospital,horn,
910,Deer has a Beautiful horn.,horn,
911,This bull has a long and pointed horn.,horn,
912,The male deer grows large branching horn called antler.,horn,
913,The bull lowered its horn and charged straight at him. ,horn,
914,Roll out the pastry on a flat surface.,flat,
915,Much of the countryside in that region is very flat.,flat,
916,The road ahead was flat and smooth.,flat,
917,There are drainage channels all over this flat agricultural land.,flat,
918,There was no wind and the sea was very flat.,flat,
919,This house has a flat on rent.,flat,
920,This flat monthly rent Is ten thousand.,flat,
921,The flat has been already booked.,flat,
922,We live in fourth flat of civil mall.,flat,
923,This coat is very good in the winter.,coat,
924,She was wearing a heavy winter coat.,coat,
925,Fur coat have gone out of fashion.,coat,
926,The kids were all wrapped up in coat and scarves.,coat,
927,They wear coat tightly around thier shoulders. ,coat,
928,Coat is a formal dress,coat,
929,Ill give the walls a quick coat of paint.,coat,
930,The coat of plastic is thick,coat,
931,I will try to dig up an old case file if you decide you want my help,file,
932,"Just need your signature, he said, pulling a file out of the drawer in his desk.",file,
933,The police have opened a file on local burglaries.,file,
934,Im going to copy this file.,file,
935,We keep your record on file for five years.,file,
936,Your metal file will produce a better finish and last longer ,file,
937,Any type of single cut metal file can be used to produce smooth square edges.,file,
938,Make it smooth using this file.,file,
939,The poor bird couldnt fly because it had a broken wing.,fly,
940,She has to fly thousands of miles every year for her job.,fly,
941,I usually fly Lufthansa airlines.,fly,
942,Many kinds of birds fly south at the approach of winter.,fly,
943,We watched a flock of birds fly over the field.,fly,
944,People who fly into a rage always make a bad landing.,fly,
945,There was no point to fly into a rage like that.,fly,
946,He visits his mother grave every Sunday.,grave,
947,They lowered the coffin into the grave.,grave,
948,She died penniless and was buried in an unmarked grave.,grave,
949,One can only hope that his unquiet spirit found some peace in the grave.,grave,
950,Many of the soldiers were interred in unmarked grave.,grave,
951,"When spelling out loud, è is called accent grave.",grave,
952,Grave sound is most commonly found in closed syllables,grave,
953,Place a grave on the word,grave,
954,I sit down on the ground.,ground,
955,Cracks had appeared in the dry ground.,ground,
956,The ground was frozen hard and was impossible to dig.,ground,
957,We went for a walk around the hospital ground.,ground,
958,Take care this is ground for electricity.,ground,
959,Apply ground in your home for  electricity ,ground,
960,Walter E. Diemer worked for a chewing gum company.,gum,
961,"The gum is fun to chew, and the color made is attractive.",gum,
962,"For some reason, chewing gum for me gets my brain going.",gum,
963,I wonder how tree leaves gum.,gum,
964,A dried gum is easily burnable and lasts longer.,gum,
965,Arabic plant gum dissolve in water to give clear solutions.,gum,
966,Use a hamper to tie hand,hamper ,
967,Police tied hamper to tie the thief ,hamper ,
968,high rate of unemployment will continue to hamper economic growth,hamper ,
969,The stormy weather will hamper rescue effort in the mountains,hamper ,
970,Any attack by enemy soldiers will hamper the arrival of food rations for our troops,hamper ,
971,"Even though I would like to fly to Paris with my friends, my lack of funds is going to hamper my journey. ",hamper ,
972,I just opened the drawer as usual and the handle came away in my hand.,handle,
973,The handle on this door is rather stiff.,handle,
974,"Slowly, I turned the door handle.",handle,
975,I picked it up and the handle broke off.,handle,
976,The door handle were made of brass.,handle,
977,I cant pick the kettle up - the handle is too hot.,handle,
978,If you cant handle the job Ill get someone else to do it.,handle,
979,Who handle the marketing in your company?,handle,
980,This is a very delicate situation and we need to handle it sensitively.,handle,
981,The customer services departments handle any customer complaint.,handle,
982,Some managers have no idea how to handle people.,handle,
983,"Every harbor on the sea coast, also, has its bar at its entrance",harbor,
984,"Pearl Harbor is the U.S. naval station, and a great naval dock, nearly 1200 ft.",harbor,
985,Boston Harbor has been frozen over in the past.,harbor,
986,Ship and boat are safe in the harbor,harbor,
987,Did he still harbor any feelings for her?,harbor,
988,Harbor amazing thoughts in mind.,harbor,
989,He wanted to harbor the suspicion that someone in the agency was spying for the enemy.,harbor,
990,I am in hard time.,hard,
991,I worked very hard for assignments.,hard,
992,"She was having a hard time of it, but she was breathing.",hard,
993,It is hard to say which of them is lying.,hard,
994,Her handwriting is very hard to read.,hard,
995,"I feel sorry for the kids, too - theyve had a hard time.",hard,
996,I cannot have more than 2 shots of hard drink.,hard,
997,A hard drink contains a high level of alcohol,hard,
998,I stopped to drink hard liquor ,hard,
999,The hen started to hatch eggs,hatch,
1000,The parents leave the eggs to hatch.,hatch,
1001,The chief engineer of the submarine went down through the hatch.,hatch,
1002,They entered into the home through the hatch.,hatch,
1003,Leather made from buffalo hide.,hide,
1004,"The hide, whether tanned or not, of one buffalo.",hide,
1005,I feel I can hide behind them.,hide,
1006,She used to hide her diary under her pillow.,hide,
1007,Jaime hid the letter beneath a pile of papers.,hide,
1008,A train hit their car.,hit,
1009,Teacher is not allowed to hit their student.,hit,
1010,She hit her thumb with the hammer,hit,
1011,They were going about 60 kilometres an hour when their car hit the tree.,hit,
1012,One journalist was hit in the leg by a stray bullet.,hit,
1013,That new shelf in the bathroom is too low - I just hit my head on it.,hit,
1014,A stone hit the window and cracked the glass.,hit,
1015,"The car skidded off the road, hit a tree and overturned.",hit,
1016,Hookah was 1st time for me so it hit me so hard.,hit,
1017,Once marijuana hit me for like 3 days.,hit,
1018,She won first prize for her raspberry jam at the Mitchell county fair.,jam,
1019,Gooseberries are used for making pies and jam.,jam,
1020,We were served scone with butter and jam.,jam,
1021,The recipe uses a whole jarful of jam.,jam,
1022,She has toast with raspberry jam for breakfast.,jam,
1023,My car stuck in traffic jam.,jam,
1024,Traffic jam is being a problem in Pokhara,jam,
1025,It is very hard to drive car in jam,jam,
1026,You stupid jerk ! Youve just spilled beer all down my new shirt!,jerk,
1027,What a jerk man – he parked in my spot!,jerk,
1028,I hope the jerk is not doing something stupid.,jerk,
1029,His grip bit into her arm and the sudden jerk caused pain in her shoulder,jerk,
1030,"He grabbed her leg and with a quick jerk, dislodged her from the tree - right into his waiting arms.",jerk,
1031,I jerk my head and talked to him,jerk,
1032,He took the kid to the park while I was working.,kid,
1033,She knows the name of every kid in the school.,kid,
1034,He was the eldest of four kid.,kid,
1035,The kid always clutters up the hall with school bags and coats and stuff.,kid,
1036,She had to get the kid ready for school.,kid,
1037,My daughter used to play with the kid next door.,kid,
1038,The goat kid is so adorable,kid,
1039,"Having a goat kid is beneficial, he will eat your unfinished veggies. ",kid,
1040,kid gloves,kid,
1041,Todays vehicles use two kind of fuel - petrol and diesel.,kind,
1042,What kind of job are you looking for?,kind,
1043,The cupboard contained all kind of strange things.,kind,
1044,Racism of any kind is abhorrent to me.,kind,
1045,I detest any kind of cruelty.,kind,
1046,Shes got some kind of job in radio.,kind,
1047,"""I will not allow that kind of behavior in my class, "" the teacher said severely.",kind,
1048,"Wood, coal, oil, petrol, and gas are all different kind of fuel.",kind,
1049,He taught that men ought to be kind even to their enemy.,kind,
1050,Shes a very kind and thoughtful person.,kind,
1051,"""If you like I can do some shopping for you."" ""Thats a very kind offer.""",kind,
1052,You sent her a card? That was a kind thought.,kind,
1053,She has enormous wide-set eye with thick lash.,lash,
1054,She has long eye lash (es).,lash,
1055,The men lash their horses into a run.,lash,
1056,Ice storms lash across the state.,lash,
1057,Stop the bus at last station.,last,
1058,I have to reach at last station.,last,
1059,What is your last conclusion?,last,
1060,This is my last decision.,last,
1061,I leave this city at last of this month.,last,
1062,I give a last chance.,last,
1063,This is your last time to come here.,last,
1064,I struggle until my last breath.,last,
1065,I love you until my last breath.,last,
1066,For the last time I want to meet you.,last,
1067,This train is always late.,late,
1068,Youll be late for your flight if you dont hurry up.,late,
1069,Sorry Im late. I was held up in the traffic.,late,
1070,Its too late to start complaining now.,late,
1071,We always have a late breakfast on Sunday mornings.,late,
1072,Our ferry was two hours late because of the strike.,late,
1073,She gave her late husband ’s clothes to charity.,late,
1074,It belonged to my late father.,late,
1075,She is the daughter of the Mr James Field and the late Mrs Daphne Field.,late,
1076,My late mother was an opera singer.,late,
1077,I knew his late brother.,late,
1078,He always leaves me alone.,leaves,
1079,She leaves the document at my table. ,leaves,
1080,Ram leaves city today.,leaves,
1081,He leaves by train.,leaves,
1082,Hari leaves home today,leaves,
1083,"The leaves quickly fell to the ground, forming a thick layer everywhere.",leaves,
1084,"They come rustling through the woods like autumn leaves, at least ten men to one loon",leaves,
1085,The leaves are falling from the tree,leaves,
1086,Plant makes its food in leaves.,leaves,
1087,Leaves of tree in the way,leaves,
1088,"When I lifted the log, there were lots of beetles skittering around under it.",log,
1089,"Running along the beach, she stumbled on a log and fell on the sand.",log,
1090,He hid the coins in a hollow log.,log,
1091,We found a huge pile of log.,log,
1092,"He sawed the log in half. Floating logs began to block the dam.""",log,
1093,He added another log to the fire.,log,
1094,Dry logs burn much better.,log,
1095,Stack the logs near the fireplace.,log,
1096,The calculation of a log can be performed by successive divisions ,log,
1097,The first table of log was invented by Napier.,log,
1098,He obtained the log of this number,log,
1099,"Suppose the hyperbolic log of the prime number 43,867 required.",log,
1100,"Record budget deficits, now running well above $200 billion a year, loom over the recovery.",loom,
1101,The threat of closure loom over the workforce.,loom,
1102,"The company is in serious financial trouble, with more debt loom ing on the horizon.",loom,
1103,Food retailers became nervous as the threat of a price war loom ed large.,loom,
1104,Thread is woven into cloth using loom.,loom,
1105,They make cloth using loom.,loom,
1106,Could I talk to you about a personal matter?,matter,
1107,Allen denied any knowledge of the matter.,matter,
1108,"Talking about the worlds problems is one thing, but solving them is another matter altogether",matter,
1109,Being arrested by the police is no laughing matter.,matter,
1110,"Its all right working with him, but living with him would be a different matter altogether.",matter,
1111,The government decided to hold a public enquiry into the matter.,matter,
1112,This is a matter of great concern to the general public.,matter,
1113,"It doesnt matter if you fail, just do your best.",matter,
1114,The minister maintained that the mine s were uneconomic and would have to be closed.,mine,
1115,The nuclear waste is encased in concrete before being sent for storage in disused mine.,mine,
1116,He had worked in the diamond mine of South Africa.,mine,
1117,All the mine s in this area were closed down in the 80s.,mine,
1118,The government was severely criticized for its decision to close the mine.,mine,
1119,They had laid mine across the road.,mine,
1120,Her leg was blown off when the mine exploded.,mine,
1121,We do not know if there are mine laid in the area.,mine,
1122,He was killed when his tank ran over a mine.,mine,
1123,The US force were clearing the surrounding area of mine.,mine,
1124,A minor operation.,minor,
1125,Its only a minor problem.,minor,
1126,She suffered only minor injuries.,minor,
1127,It requires a few minor adjustments.,minor,
1128,a minor poet of the 16th century,minor,
1129,You are at minor age.,minor,
1130,He is minor boy.,minor,
1131,His minor child.,minor,
1132,a sprig of mint,mint,
1133,I took a mint leaf to stop myself coughing.,mint,
1134,a packet of extra strong mint,mint,
1135,Top each bowl with a generous sprinkling of fresh mint.,mint,
1136,mint flavored toothpaste,mint,
1137,I like mint candy.,mint,
1138,I don’t buy mint candy.,mint,
1139,This is the candy with mint flavor ,mint,
1140,The statue is made in a mold and I just paint them.,mold,
1141,Clay in the mold.,mold,
1142,The chair is mold ed.,mold,
1143,Wood furniture mold soon if you place at moisture,mold,
1144,As he lifted the computer monitor.,monitor,
1145,Turn off the monitor.,monitor,
1146,The laptop monitor is broken. ,monitor,
1147,The monitor of computer is sold today.,monitor,
1148,The screen of the monitor is scratched.,monitor,
1149,The new findings suggest that women ought to monitor their cholesterol level.,monitor,
1150,The CIA want to monitor his phone call.,monitor,
1151,Monitor the temperature of the patient.,monitor,
1152,Monitor the change in values.,monitor,
1153,Monitor the activities of students,monitor,
1154,Make life easy for yourselves.,make,
1155,Make love with me.,make,
1156,That does make sense.,make,
1157,I ‘m too tired to make my bed.,make,
1158,"Now he felt that it was inevitable, but he could not make up his mind to take the final step.",make,
1159,Zeb struck a match to light one of the lanterns.,match,
1160,My match burned my fingertips,match,
1161,She struck fire with the third match and tossed it into the stove.,match,
1162,She lit the fire with a match.,match,
1163,a box of matches,match,
1164,The national anthems of the teams are played at the beginning of a big international football match.,match,
1165,We spent the afternoon at a football match.,match,
1166,Fans packed the stadium to watch the final match.,match,
1167,England has to win tonights qualifying match to go through to the next round of the competition.,match,
1168,Only one goal was scored in the entire match.,match,
1169,a tennis match,match,
1170,a football match,match,
1171,a cricket match,match,
1172,We lost the match.,match,
1173,Liverpool have a match with Blackburn next week.,match,
1174,She went to live abroad after the break-up of her marriage.,live,
1175,Do you know the people who live in this home?,live,
1176,I dont like to live so far away from my family.,live,
1177,Its very convenient that you live near the office.,live,
1178,We live on a quiet room.,live,
1179,"Look, my brother is live on Facebook.",live,
1180,"I haven’t seen a live cricket match before, it’s my first experience.",live,
1181,This evening there will be a live broadcast of the debate.,live,
1182,a live recording,live,
1183,I wish to see Maria Callas live.,live,
1184,The concert was broadcast live from New York.,live,
1185,The show was recorded in front of a live audience.,live,
1186,The stunt was filmed live. ,live,
1187,Take the lift to the sixth floor.,lift,
1188,The lift isnt working.,lift,
1189,We got stuck in the lift.,lift,
1190,Take the lift to the top floor.,lift,
1191,"Could you help me lift this table, please?",lift,
1192,Could you lift your chair a little- Ive got my coat caught under it.,lift,
1193,"""Can you lift this case?"" ""It depends on how heavy it is.""",lift,
1194,"When I lift the log, there were lots of beetles skittering about under it.",lift,
1195,They lift weights after work to let off steam.,lift,
1196,"Can you lift your arm at all, or is it too painful?",lift,
1197,One of the heavy metal is lead.,lead,
1198,Lead is a relatively unreactive post-transition metal.,lead,
1199,"Lead is still widely used for car battery, pigments, ammunition, cable sheathing,",lead,
1200,Would you lead my upcoming short film.,lead,
1201,The lead actor of the dark knight was much good.,lead,
1202,Titanic had Dicarpio and Kate in a lead role.,lead,
1203,Who played the lead role in the movie?,lead,
1204,The lead guitarist was good.,lead,
1205,Tourists are instructed to follow their guide.,follow,
1206,I follow the guide to visit the museum.,follow,
1207,Children follow mother to go to school.,follow,
1208,The ducklings followed their mother around the pond,follow,
1209,Please follow the rules.,follow,
1210,Everyone should follow the rules of metropolitan.,follow,
1211,We should follow the laws of nation.,follow,
1212,People who should not follow laws should be punished.,follow,
1213,I am a bachelor level student.,level,
1214,She had completed Master level degree from Yale University.,level,
1215,I have completed my Master degree level in 2011.,level,
1216,"To be eligible, one should pass master level",level,
1217,"Without passing bachelor level, you cannot apply for the post",level,
1218,The table wobbles because the floor is not level.,level,
1219,His glasses were never level.,level,
1220,Make sure the chair is level.,level,
1221,We looked for a level piece of land to pitch our tent.,level,
1222,This table isnt level. ,level,
1223,I remembered the flash light in the Jeep,flash,
1224,flash of torch in my eye,flash,
1225,flash of light ,flash,
1226,a flash of lightning,flash,
1227,The bomb exploded in a flash of yellow light.,flash,
1228,You flash a smile and offer to buy me a drink.,flash,
1229,"Even if she is sad, she does always flash a smile and talk with us.",flash,
1230,The latest news is flash ed to all command posts,flash,
1231,The news is flash ed in few seconds,flash,
1232,The news of his promotion is flash ed in a minute.,flash,
1233,Movie frame,frame,
1234,They have used frame in making movie.,frame,
1235,Frame is a transparent photograph on a strip of film,frame,
1236,Frame a five years plan of the office,frame,
1237,Frame a policy of our organization,frame,
1238,We should frame our policy as soon as possible.,frame,
1239,They will frame their plan and submit before deadline,frame,
1240,In their efforts to reduce crime the government expanded the police force.,force,
1241,Security force halted the demonstrators by blocking the road.,force,
1242,The reduction in armed force will be phased over the next ten years.,force,
1243,Government troops swept aside the rebel force.,force,
1244,the security force,force,
1245,the work force,force,
1246,He joined the police force right after graduating.,force,
1247,"In science, force is the push or pull on an object with mass that causes it to change velocity",force,
1248,"Force represents as a vector, which means it has both magnitude and direction.",force,
1249,The force of the wind had brought down a great many trees in the area.,force,
1250,In the end she used brute force to push him out.,force,
1251,The rocket has to work against the force of gravity.,force,
1252,The acceleration of a body equals the force exerted on it divided by its mass.,force,
1253,The force of the waves was eroding the cliff face.,force,
1254,Figure 10.3 shows the maximum length of the bridges.,figure,
1255,It is shown in figure 2.,figure,
1256,The figure illustrates the process.,figure,
1257,"As shown in the figure, we cannot stop it forcefully.",figure,
1258,The figure shows the block diagram of computer.,figure,
1259,I could not figure out your point,figure,
1260,Did you figure out my speech?,figure,
1261,I will find a plumber to fix the pipe.,find,
1262,I am trying to find a secretary to type a letter.,find,
1263,I find secretary to type his letter,find,
1264,I will find gadget to open wine cork.,find,
1265,I find a tool to fix tap,find,
1266,"When the guard came to clip my train ticket , I couldnt find it.",find,
1267,"I couldnt find the station, so I asked someone if they could direct me.",find,
1268,"She moved to London to find work as a model, but failed.",find,
1269,I could not find the way to the city.,find,
1270,They couldnt find work elsewhere.,find,
1271,he had a special hang for getting into trouble,hang,
1272,The criminal will be hang ed next day.,hang,
1273,The leaders of the rebellion were hang ed as traitor s.,hang,
1274,"She said he should be hang ed for what he has done, and that he does not deserve to live.",hang,
1275,"Traitor s would be publicly hang ed, drawn and quartered in Tudor times.",hang,
1276,"The gibbet still stands today, at the crossroads where common criminal s were hang ed.",hang,
1277,Hang him until death,hang,
1278,The court ordered to hang him next week.,hang,
1279,The court decided to hang the criminal due to his crime,hang,
1280,The rapist should be hang ed until death.,hang,
1281,To hang a people is not a humanity punishment ,hang,
1282,The whole thing was decided on the flip of a coin.,flip,
1283,England won the coin flip and chose to kick off.,flip,
1284,Lets flip the coin for the last ticket.,flip,
1285," ""Head"" she replied coin flip.",flip,
1286,Flip a coin.,flip,
1287,"In football, referee flip a coin to choose the side of playground. ",flip,
1288,"When one side is done, flip the pancake to cook the other side.",flip,
1289,I flip the book to look at the back cover.,flip,
1290,I lost my place in my book when you flip the page over in the wind.,flip,
1291,Flip the switch to turn on the machine. ,flip,
1292,Shell flip her lid when she finds out.,flip,
1293,He got large amount of money and is feeling flush.,flush,
1294,"This is the flush time for farmer, their crops are good.",flush,
1295,It is a flush time of grain production,flush,
1296,Farmer are feeling flush since they have huge production.,flush,
1297,He got flush progress this year,flush,
1298,Flush of this toilet is not working.,flush,
1299,I heard the flush of toilet,flush,
1300,You can see the flush of water from the dam,flush,
1301,Flush of water from the lake ,flush,
1302,Flush of water in toilet,flush,
1303,Flush of words,flush,
1304,Flush of blood,flush,
1305,India lost the match in their home ground,home,
1306,United lost the match even in their home stadium.,home,
1307,A sports teams home ground is their own playing field,home,
1308,Brazil lost the game with Germany in their home ground in 2014,home,
1309,Losing a game in home ground makes to feel humiliating  ,home,
1310,Russia won the game in the home ground,home,
1311,women who decide to stay at home and look after their children,home,
1312,We had a happy home.,home,
1313,He was shot dead outside his home.,home,
1314,They live in his own home,home,
1315,I want to buy my own home.,home,
1316,Home for childcare is very near to your office,home,
1317,Home for elderly in in the center of the city,home,
1318,he got into a terrible fix,fix,
1319,he made a fix of his marriage,fix,
1320,he stuck in a difficult fix,fix,
1321,The buffalo stuck in a difficult fix around lions,fix,
1322,Try to fix our game for Tuesday.,fix,
1323,We need to fix a date for the next meeting.,fix,
1324,Fix the place for our picnic.,fix,
1325,Fix the time to meet,fix,
1326,Please fix the date to arrive,fix,
1327,Let us fix a date for the next conference,fix,
1328,He made a fit.,fit,
